,home_team,away_team,winning_team,Unnamed: 0_x,home_ranking,Unnamed: 0_y,away_ranking
222,Brazil,Uruguay,Brazil,1.0,2.0,13.0,14.0
223,Sweden,Finland,Sweden,23.0,24.0,62.0,63.0
224,Brazil,Argentina,Draw,1.0,2.0,4.0,5.0
225,Denmark,Sweden,Denmark,11.0,12.0,23.0,24.0
226,Denmark,Norway,Denmark,11.0,12.0,52.0,53.0
227,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
228,Sweden,Netherlands,Sweden,23.0,24.0,16.0,17.0
229,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
230,Argentina,Uruguay,Uruguay,4.0,5.0,13.0,14.0
231,Sweden,Norway,Norway,23.0,24.0,52.0,53.0
232,Sweden,Denmark,Sweden,23.0,24.0,11.0,12.0
233,Argentina,Uruguay,Argentina,4.0,5.0,13.0,14.0
234,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
235,Switzerland,France,France,5.0,6.0,6.0,7.0
236,England,Wales,Wales,12.0,13.0,17.0,18.0
237,France,Belgium,France,6.0,7.0,2.0,3.0
238,Switzerland,Italy,Switzerland,5.0,6.0,18.0,19.0
239,England,Scotland,England,12.0,13.0,41.0,42.0
240,Switzerland,Netherlands,Switzerland,5.0,6.0,16.0,17.0
241,Sweden,Finland,Sweden,23.0,24.0,62.0,63.0
242,Sweden,Switzerland,Switzerland,23.0,24.0,5.0,6.0
243,Switzerland,Germany,Switzerland,5.0,6.0,0.0,1.0
244,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
245,Argentina,Uruguay,Uruguay,4.0,5.0,13.0,14.0
246,Argentina,Uruguay,Argentina,4.0,5.0,13.0,14.0
247,Uruguay,Argentina,Draw,13.0,14.0,4.0,5.0
248,Brazil,Uruguay,Uruguay,1.0,2.0,13.0,14.0
249,Argentina,Brazil,Argentina,4.0,5.0,1.0,2.0
250,Sweden,Norway,Draw,23.0,24.0,52.0,53.0
251,Sweden,Denmark,Denmark,23.0,24.0,11.0,12.0
252,England,Northern Ireland,England,12.0,13.0,28.0,29.0
253,Germany,Hungary,Germany,0.0,1.0,50.0,51.0
254,France,Italy,Italy,6.0,7.0,18.0,19.0
255,Belgium,France,Belgium,2.0,3.0,6.0,7.0
256,Switzerland,Austria,Draw,5.0,6.0,25.0,26.0
257,Belgium,Italy,Italy,2.0,3.0,18.0,19.0
258,Germany,Austria,Draw,0.0,1.0,25.0,26.0
259,Belgium,Netherlands,Draw,2.0,3.0,16.0,17.0
260,Belgium,England,England,2.0,3.0,12.0,13.0
261,Sweden,Finland,Finland,23.0,24.0,62.0,63.0
262,Japan,Philippines,Philippines,60.0,61.0,114.0,115.0
263,Denmark,Netherlands,Draw,11.0,12.0,16.0,17.0
264,Sweden,Austria,Austria,23.0,24.0,25.0,26.0
265,Costa Rica,El Salvador,Costa Rica,22.0,23.0,71.0,72.0
266,Sweden,Norway,Norway,23.0,24.0,52.0,53.0
267,Argentina,Brazil,Argentina,4.0,5.0,1.0,2.0
268,Denmark,Norway,Denmark,11.0,12.0,52.0,53.0
269,Sweden,Denmark,Draw,23.0,24.0,11.0,12.0
270,Brazil,Paraguay,Brazil,1.0,2.0,31.0,32.0
271,Argentina,Paraguay,Argentina,4.0,5.0,31.0,32.0
272,Brazil,Uruguay,Uruguay,1.0,2.0,13.0,14.0
273,Argentina,Uruguay,Argentina,4.0,5.0,13.0,14.0
274,Uruguay,Paraguay,Uruguay,13.0,14.0,31.0,32.0
275,Switzerland,Italy,Draw,5.0,6.0,18.0,19.0
276,France,Netherlands,Netherlands,6.0,7.0,16.0,17.0
277,Spain,Portugal,Spain,9.0,10.0,3.0,4.0
278,France,Belgium,France,6.0,7.0,2.0,3.0
279,England,Wales,England,12.0,13.0,17.0,18.0
280,Belgium,Netherlands,Belgium,2.0,3.0,16.0,17.0
281,Germany,Switzerland,Draw,0.0,1.0,5.0,6.0
282,England,Scotland,Scotland,12.0,13.0,41.0,42.0
283,Belgium,Denmark,Draw,2.0,3.0,11.0,12.0
284,France,Spain,Spain,6.0,7.0,9.0,10.0
285,Poland,Hungary,Hungary,7.0,8.0,50.0,51.0
286,Sweden,Poland,Poland,23.0,24.0,7.0,8.0
287,Denmark,Czech Republic,Czech Republic,11.0,12.0,45.0,46.0
288,Germany,Hungary,Draw,0.0,1.0,50.0,51.0
289,Sweden,Hungary,Draw,23.0,24.0,50.0,51.0
290,Sweden,Czech Republic,Czech Republic,23.0,24.0,45.0,46.0
291,Sweden,Norway,Draw,23.0,24.0,52.0,53.0
292,Brazil,Chile,Draw,1.0,2.0,8.0,9.0
293,Brazil,Paraguay,Draw,1.0,2.0,31.0,32.0
294,Argentina,Chile,Argentina,4.0,5.0,8.0,9.0
295,Brazil,Uruguay,Draw,1.0,2.0,13.0,14.0
296,Denmark,Sweden,Sweden,11.0,12.0,23.0,24.0
